,starting_conditions,theorem
51,"The following statement is true:
",((((a*1)*((a*1)*a))*c)+(((a*1)*((a*1)*a))*(1*a)))=((((a*(a*1))*a)*(c+(1*a)))+0)
52,"Given that ((a*a)+f)=(b*a) the following is statement true:
",(((b*a)+(((a+a)*a)*b))+((a*a)+f))=(((b*(a+((a*a)+(a*a))))+0)+(b*a))
53,"The following statement is true:
",(c*(((c*a)+(a*c))+0))=(((c*(c+(c+0)))*a)+(c*0))
54,"The following statement is true:
",(0^2)=(0+(((-b)+b)*0))
55,"The following statement is true:
",(((1*(a+b))^2)*(1*c))=((((1*(a+b))*(0+(b+a)))*1)*c)
56,"The following statement is true:
",((((a*1)*((a*1)*a))*c)+(((a*1)*((a*1)*a))*(1*a)))=((((a*(a*1))*a)*(c+(1*a)))+0)
57,"Given that ((a*a)+f)=(b*a) the following is statement true:
",(((a*b)+(b*((a+a)*a)))+((a*a)+f))=(((b*(a+((a*a)+(a*a))))+0)+(b*a))
58,"The following statement is true:
",(c*(((a*c)+(c*a))+0))=(((c*(c+(c+0)))*a)+(c*0))
59,"The following statement is true:
",(0^2)=(0+(((-b)+b)*0))
60,"The following statement is true:
",((\frac{1}{(((c+a)+c)+(-(a+c)))})*c)=(1*1)
61,"Given that (c+f)=0 the following is statement true:
",((c*a)+(c*0))=((c*(a+(((c+(-c))+0)+(-(c+f)))))*1)
62,"Given that (a+f)=c the following is statement true:
",((a+((f*((a*a)+(a+f)))+(f*(a^2))))*f)=((a*f)+(f*(f*(((a^2)+c)+(a^2)))))
63,"Given that (a+f)=b the following is statement true:
",0=(((a+f)*((c+b)+(0+(c+b))))+(-(((a+f)*(c+b))+((a+f)*((c+(a+f))*1)))))
64,"Given that (a+f)=a the following is statement true:
",0=(1+(-((\frac{1}{(a+a)})*((a+a)+f))))
65,"The following statement is true:
",((\frac{1}{(((c+a)+c)+(-(a+c)))})*c)=(1*1)
66,"Given that (c+f)=0 the following is statement true:
",((c*a)+(c*0))=((c*(a+(((c+(-c))+0)+(-(c+f)))))*1)
67,"Given that (a+f)=c the following is statement true:
",((a+((f*((a*a)+(a+f)))+(f*(a^2))))*f)=((a*f)+(f*(f*(((a^2)+c)+(a^2)))))
68,"Given that (a+f)=b the following is statement true:
",0=(((a+f)*((c+b)+(0+(c+b))))+(-(((a+f)*(c+b))+((a+f)*((c+(a+f))*1)))))
69,"Given that (a+f)=a the following is statement true:
",0=(1+(-((\frac{1}{(a+a)})*((a+a)+f))))
70,"The following statement is true:
",(((1*(a+b))^2)*(1*c))=((((1*(a+b))*(0+(b+a)))*1)*c)
71,"The following statement is true:
",((((a*1)*((a*1)*a))*c)+(((a*1)*((a*1)*a))*(1*a)))=((((a*(a*1))*a)*(c+(1*a)))+0)
72,"Given that ((a*a)+f)=(b*a) the following is statement true:
",(((b*a)+(b*((a+a)*a)))+((a*a)+f))=((((a+((a*a)+(a*a)))*b)+0)+(b*a))
73,"The following statement is true:
",(c*(((a*c)+(c*a))+0))=(((c*(c+(c+0)))*a)+(c*0))
74,"The following statement is true:
",(0^2)=(0+(((-b)+b)*0))
75,"The following statement is true:
",(((1*(a+b))^2)*(1*c))=((((1*(a+b))*(0+(b+a)))*1)*c)
76,"The following statement is true:
",((((a*1)*((a*1)*a))*c)+(((a*1)*((a*1)*a))*(1*a)))=((((a*(a*1))*a)*(c+(1*a)))+0)
77,"Given that ((a*a)+f)=(b*a) the following is statement true:
",(((b*a)+(((a+a)*a)*b))+((a*a)+f))=(((b*(a+((a*a)+(a*a))))+0)+(b*a))
78,"The following statement is true:
",(c*(((a*c)+(c*a))+0))=(((c*(c+(c+0)))*a)+(c*0))
79,"The following statement is true:
",(0^2)=(0+(((-b)+b)*0))
80,"The following statement is true:
",(((1*(a+b))^2)*(1*c))=((((1*(a+b))*(0+(b+a)))*1)*c)
81,"The following statement is true:
",((((a*1)*((a*1)*a))*c)+(((a*1)*((a*1)*a))*(1*a)))=((((a*(a*1))*a)*(c+(1*a)))+0)
82,"Given that ((a*a)+f)=(b*a) the following is statement true:
",(((b*a)+(((a+a)*a)*b))+((a*a)+f))=(((b*(a+((a*a)+(a*a))))+0)+(b*a))
83,"The following statement is true:
",(c*(((a*c)+(c*a))+0))=(((c*(c+(c+0)))*a)+(c*0))
84,"The following statement is true:
",(0^2)=(0+(((-b)+b)*0))
85,"The following statement is true:
",((\frac{1}{(((c+a)+c)+(-(a+c)))})*c)=(1*1)
86,"Given that (c+f)=0 the following is statement true:
",((c*a)+(c*0))=((c*(a+(((c+(-c))+0)+(-(c+f)))))*1)
87,"Given that (a+f)=c the following is statement true:
",((a+((f*((a*a)+(a+f)))+(f*(a^2))))*f)=((a*f)+(f*(f*(((a^2)+c)+(a^2)))))
88,"Given that (a+f)=b the following is statement true:
",0=(((a+f)*((c+b)+(0+(c+b))))+(-(((a+f)*(c+b))+((a+f)*((c+(a+f))*1)))))
89,"Given that (a+f)=a the following is statement true:
",0=(1+(-((\frac{1}{(a+a)})*((a+a)+f))))
90,"The following statement is true:
",((\frac{1}{(((c+a)+c)+(-(a+c)))})*c)=(1*1)
91,"Given that (c+f)=0 the following is statement true:
",((c*a)+(c*0))=((c*(a+(((c+(-c))+0)+(-(c+f)))))*1)
92,"Given that (a+f)=c the following is statement true:
",((a+((f*((a*a)+(a+f)))+(f*(a^2))))*f)=((a*f)+(f*(f*(((a^2)+c)+(a^2)))))
93,"Given that (a+f)=b the following is statement true:
",0=(((a+f)*((c+b)+(0+(c+b))))+(-(((a+f)*(c+b))+((a+f)*((c+(a+f))*1)))))
94,"Given that (a+f)=a the following is statement true:
",0=(1+(-((\frac{1}{(a+a)})*((a+a)+f))))
95,"The following statement is true:
",(((1*(a+b))^2)*(1*c))=((((1*(a+b))*(0+(b+a)))*1)*c)
96,"The following statement is true:
",((((a*1)*((a*1)*a))*c)+(((a*1)*((a*1)*a))*(1*a)))=((((a*(a*1))*a)*(c+(1*a)))+0)
97,"Given that ((a*a)+f)=(b*a) the following is statement true:
",(((b*a)+(b*((a+a)*a)))+((a*a)+f))=(((b*(a+((a*a)+(a*a))))+0)+(a*b))
98,"The following statement is true:
",(c*(((a*c)+(c*a))+0))=(((c*(c+(c+0)))*a)+(c*0))
99,"The following statement is true:
",(0^2)=(0+(((-b)+b)*0))
